sectionName,string,unique_id,model_classification,reasoning
Introduction,", 1983), along with downstream substrates, including NMDA receptors (NMDA-Rs) and AMPA-receptors (AMPA-Rs) (Yoshimura et al., 2000).",dc1deee713031dad7a5bb56e7361c77ddf076bf3>a29356d8937b8fe6e619c62c83bc51692c069dac_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
METHODS,"The Delphi method is an iterative, anonymous, data-driven survey method that facilitates expert-group consensus building.(22) The four defining characteristics of the Delphi method were upheld throughout the process: anonymity, iteration, controlled feedback, and statistical group response.",30aacd0f8c8c69782e15bd09167ff03cf15d8fb8>1efdd53a1965c2fbf9f5e2d26c239e85b0e7b1ba_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
DISCUSSION,"These results are consistent with those of Liong and Shah, who reported that decreased fecal Escherichia coli counts result from probiotic feeding in rats (46).",689f6d5e283be137a2759f6eeaf8a45786ed3348>615e5987e27bb06ddaabf1aa5e9b8ccba70a4d87_0,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Results and discussion,"…used in the present study has been proven to be suitable for the extraction of resveratrol from several transgenic plants (Szankowski et al., 2003; Zhu et al., 2004; Rühmann et al., 2006), resveratrol has not been found in methanol or acetone extracts of strawberry (Aharoni et al., 2002;…",440a87ddd8a44f8cb07d36f87eeff32bc8425b28>a7dbee568a136baf5661953a3870c5a64ae138aa_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,described the prevalence of ASD in England as 4/10 000 for children aged 8–10 years (Lotter 1966).,d22e781fc708567ae85781190c26cdd2a89ca5fd>55ff17eba1d9e452dfc60f0a6792ed24d2dcac1a_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"The duration of phase I was estimated from the averaged response profile, as the time at which there was a marked inflection point in the _ VO2, _ V CO2 and _ V E response and change in end tidal oxygen, end tidal carbon dioxide and R from baseline values (Whipp et al. 1982).",a36968ce4a49331c6bc512af535d0138faa80f27>d758571cc91a869dda07cd4b0b250f4815052a2d_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"In the past, emails, e-consultations, and requests for medical advice via the Internet have been manually analyzed using quantitative or qualitative methods [1-6].",550079470c3509c24d4d41516b8225d1ea3366a1>dc029e23eed2ea6220d8e1f75dac4f9a741a50e0_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
Introduction,It has also been documented that children and adolescents with epilepsy experience more emotional and behavioural problems than healthy controls and others with chronic conditions [9-26].,0836370798455c51ed51fea8fee7b23d4f485e65>79b276ac65ee9681e5bde87a1d7c960606652aef_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
METHODS,"Other investigators using different experimental models, animals, and anesthetic agents experienced similar difficulty in stabilizing the circulatory volume when a crystalloid solution, saline, or Ringer solution was used to replace the blood lost (8, 12, 40, 41, 44, 55).",74a6b9c8a09cb4bd045d7ef58970c791711b38dc>49fecaa4b95ef6c572d1233422dc4d5f97309b4b_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
Discussion,"In the subsequent studies, Yoshida et al. (2004b) and Ishii et al. (2004) confirmed the reversibility of 2,6-dihydroxybenzoate decarboxylase of Rhizobium sp. strain MTP-10005 and R.radiobacter WU-0108, respectively.",19d3a5f60b9e670448af8e03a532fcf0d5ba7c86>795dea03985914118aff6306635fc53c3792b758_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"We used the HB cell lines HUH6 (Japanese Collection of Research Bioresources, JCRB, Osaka, Japan), HepT1 [41], HepT3 [7], and HepG2 [42], as well as the hepatocellular carcinoma (HCC) cell line HUH7 (JCRB).",99c9d414dcb50ee743e63977615c45553eeb9159>21a9a19b1e36448eed19a7b9dc291aefbde2f4db_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
4. Discussion,"…of a subpopulation of DA neurons which locate in the laterodorsal ventral tegmental area (VTA) (also referred to as medial and central VTA) (Valenti et al., 2012; Lammel et al., 2012), whereas short-term stress or other different chronic stressors (e.g., repeated intermittent stress)…",de84e8776d3817a338228570ca0efcabdbbd7d1c>b0c067eddb8ba079d04486bb47e7f7569369cfd2_5,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"(2007) focus on slow EEG oscillations observed during deeper levels of desflurane-induced general anesthesia and (Liley and Bojak, 2005) model the proconvulsive properties of several volatile anesthetic agents, most modeling efforts aim at understanding the dynamical mechanisms underlying bi-phasic responses (Bojak and Liley, 2005; Hutt and Longtin, 2010; Steyn-Ross et al., 1999).",bb21e98f4b1b7bc5a2e89fda1139d98763d78bab>c14be2a7007e022da13889d804a540d0c0c34264_12,background,"The citation does not explicitly describe methods or results, likely providing general context."
RESULTS,"In fact, a decrease of ROS production in AS-30D cells by the potent uncoupler CCCP, both in the presence and absence of arachidonic acid, was described in our previous publication (Dymkowska et al., 2006).",c9a63a4272af92612219617b75bcf0c6ab2bfdd7>cb101cdbe7aac08d64577ea4ec526d1663a9899d_8,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"Wine polyphenols can reduce the susceptibility of LDL to oxidation, counteracting a key mechanism of atherosclerosis [13].",e837e8492a7e3c4a0f3063e95bf3f958b85b694b>dbd999566f751b28966b510531223aee501ac556_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
MATERIALS AND METHODS,"At these concentrations, protein expression of Cx-43 was reduced by 80% for up to 72 h (21), and protein expression of Tph1 was reduced by 90% for up to 72 h.",937444dc1ba977382b4c92eb9eab8518401fe154>156fb7b12ac3780dc3135685202f9ca520b99d21_7,background,"The citation does not explicitly describe methods or results, likely providing general context."
METHODS,Gas-phase smoke contains similar concentrations of these gases but is free of particulates (6).,c72decaa562b4d0f3ba3ebbe8e8aa68b52664706>464aeede29bcafb2ef221755a921c319b8259a1e_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"For example, cocaine affects dopamine (DA), norepinephrine (NE), and serotonin (5-HT) reuptake, and the enhanced monoaminergic signals lead to addictive behaviors (Ritz et al. 1990; Ritz et al. 1987).",ef2ee8075b2e63e057840bac6f6c09db1a9727d7>31b7c09781dc8dfaec5dfaa3fd7157693b06232c_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
4. Discussion,"Reformulated from a neurobiological perspective, supraliminal stimuli induce global broadcasting i.e., long distance reinforcement and reverberation loops (Baars, 2002; Dehaene & Naccache, 2001).",69b52ecdc151f23d6e14273ff4cbffa6b20152e4>414ca9cc4a095f65ba7ec8fe00bb994b1ae81c14_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Results,"[25] Indeed, the polyfunctionality index (1) presented here allows us to favour more polyfunctional T cells in a linearly (q = 1) or exponentially (q.",483b955cabe86662614f61d6976aa136e9ffebe9>21973265bda3188c92e0dc926106cba99c676368_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"Assessing Risk of Bias
 Critical appraisal of the studies, based on the Cochrane Risk of Bias Tool (Higgins and Green 2009), involved assessing whether there was an adequate method of sequence generation, allocation concealment, blinding of assessors, satisfactory treatment of attrition, including‚Ä¶",e9a4a6cec8b4a268ecd991a9f92700ce1a8960a5>3ef88a5a85e2134fe9d2f1297b0d2b813852ba60_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
METHODS,"Whole cell patchclamp recordings were performed at 30¬∞C as described previously (20, 32, 37, 42, 45).",8b091c67925e6cc5693ea0387cbc472d19959776>4b596494fadd55a10eb3a2a5552bf26558839cee_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"…contrast to most anti-inflammatory cytokines IL-10 concentrations increases during endurance exercise in thermoneutral conditions (Nieman et al. 2012; Peake et al. 2005, 2008; Svendsen et al. 2014) and increases further when exercise is conducted in a hot laboratory environment (Peake et al. 2008).",7c0238ef1cd6eab52c9234d7233eaa863f085bb5>7b4cc07c1ddd84cb09eb5edd2c1ce2b90cf2dc28_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
METHODS,The reciprocal of k is the turnover time (1) or the time interval required for the biosynthesis of an amount of NE equal to that stored in the tissue.,3d2b783107c45ad6b201ef09e549f161e5c2bbbb>fdc650b26cc9d9ae43b57a8fe65a1213cdb14e8c_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,Determining the factors leading to current patterns of biodiversity loss in humandegraded landscapes is thus important in order to assess the likely effectiveness of future conservation efforts (Jeanneret et al. 2003a; Little et al. 2013).,d388588cbc8aef4f1eba7b56f1571191370f6e75>7348e48de2ad238df345015c6b9c42830bee728b_7,background,"The citation does not explicitly describe methods or results, likely providing general context."
3. Results,"In men, two studies [36, 43], indicated that obesity was associated with lower CRC screening rates.",ff0d8176b6cb2c95c4ef50bcc634bd37ffabf1b2>1fdfeb2b7c8b5245ab8b407bc1464561685b8c66_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
4. Discussion,This may be partially explained by the fact that younger and healthier patients are often more likely to be initially selected for TJR [17].,8d955cf85cccf86ec83802b893a6adc9507459d5>481b91ee6d0a96360e816644543172a555b9af11_5,background,"The citation does not explicitly describe methods or results, likely providing general context."
1. INTRODUCTION,"These methods have been used in identifying causal regulators in yeast (Friedman et al., 2000; Pe’er et al., 2001; Segal et al., 2003; Zhu et al., 2008; Bing and Hoeschele, 2005; Kulp and Jagalur, 2006) and causal mediators of disease in mice (Schadt et al., 2005).",7157c8bbb0dd47a62c89f0c9b3307c0514b0757e>baa1821883e2cb4fac0e47740c49eebc02574ca0_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
Results,"In this regard, TONSL is already known to participate in the repair of collapsed or stalled replication forks (Duro et al. 2010; O’Connell et al. 2010; O’Donnell et al. 2010; Piwko et al. 2010), which is also a known BRCA1 function (Pathania et al.",f36300a29107655359ffb8ed2db04c93dada24aa>aac9fb0178847fc4e17a1acdd5d9662ff53b9c94_8,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Discussion,"The Real-time PCR has many other wider applications in other areas of research, such as microbiology, biotechnology, diagnostics and molecular medicine (Nolan et al. 2006).",dff972e602bf60a30b7320e6a15e17e5bfe0b33a>8f880cf23c0896a0f58592cc696fbc577df95513_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Materials and methods,PCR amplification of the ITS region and PS36 and P74-75 SSR markers (Cooke et al. 2000; Dorrance and Grünwald 2009; Schena et al. 2008).,b9df6d79613b105f437e693aebfeab59fc06f54f>0296f987ace5acfdd29f730b2477356cc85bca9a_5,background,"The citation does not explicitly describe methods or results, likely providing general context."
1. Introduction,"Molecular markers and population genetic analyses have greatly facilitated our ability to assess previously unobtainable data on the ecological or evolutionary dynamics of metazoan animal parasites in natural populations (Criscione et al., 2005; de Meeûs et al., 2007a).",cdf1a01c9ef7ac272437d7905783e600c9f55bdb>918897fab7d089e97966154372ae5a7372f61f11_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"Four or more vessels involved by FTC has been proposed to have a worse prognosis[7,11-15].",2045aa4965bba145f84dc8bf6d1d5469c9af84f4>697c558bdc46857b39f286010448f882cec8c58a_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
RESULTS,"Vol. 17, No. 4, December, 2013
translocation of these enzymes to the plasma membrane and/or other membrane (Littler et al., 2006; CorbalánGarcía & Gómez-Fernández, 2010).",b5a076b270d17b28cfb0a389bc503d12b5f64288>4044489d3f31cec999bc6cba9d7c7f91e511ffb2_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"d See MacWhinney and Snow (1985). e Satterthwaite’s method used, due to unequal variances.",497824c5613d5641eefd07e7281885d321b5a86a>489f1c42927dca534bc78c0754fa30ad51605d9a_4,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
DISCUSSION,"8).(8,13) These results are consistent with the reported differences in IOP values between diurnal and nocturnal raptors, considering ostriches‚Äô natural diurnal behavior.",032cda3876f80eaff146d59a15c3ac86050a4d24>ea0372b4c4f44085dec5f7f637a1c0900c7b20a9_0,background,"The citation provides context, references prior work, or summarizes existing knowledge."
,"They initialize their orthogonal mapping using an adversarial training phase, much like Conneau et al. [2018], and solve the optimization problem with alternating minimization. Our approach differs from theirs: by bootstrapping on the solution of a smaller problem to initialize the mapping, we avoid the need for a neural network initialization that is used in their approach. In addition, our annealing scheme on the entropic regularization leads to smooth convergence, with very little sensitivity to initialization. Concurrently with our work,1 Grave et al. [2018] tackle the problem of unsupervised word embedding alignment with a similar optimization framework as the one proposed by Zhang et al. [2017b], combining Wasserstein distances (an instance of optimal transport distances) and Procrustes alignment.",25a58b728ebeee5bc33d753bccb89617af1cd6d6>5b97f710fe7b89887740e292d1c5e2b9f1d65b1f_11,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
DISCUSSION,"In support of this conclusion is the previous observation that the relative contribution of the nanosecond and microsecond processes to the HOOP mode decay was temperature-dependent (Dioumaev and Braiman, 1997a).",24fe18db8ad1c3b1d77a73b1fea0f9a471434bf7>57220e5e1106b295bab12105c79f6307ab220e0f_12,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"For Bd, initial gene calls were predicted using a combination of FGENESH30, GENEID31, EST-based genes and manual annotation; this initial set (previously made available on the Broad Institute website at https://www.broadinstitute.org/annotation/ genome/batrachochytrium_dendrobatidis/MultiHome.html) was improved using 50,374,154 paired-end reads (10.1 Tb) from RNA sequenced on three lanes of Illumina HiSeq from in vitro cultures (Supplementary Table 1), as well as 1,390 transcripts (800 kb) from Bd infection (described in detail below).",f74a538485f77afd7500223581ac54d653571f6c>6c8beaa6097c2ca9a7599d0c80d14953bd0bc537_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"The remaining descriptive data were collected via observation during the field site characterization, and during previous experiments [19,20].",4907848e3ffa09c1088f6934b32a46a29da5c8f7>225a6ba81b8106553ad2a127ed5cdf533b93bc51_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Role of Holistic Thinking,"culturally dominant processing style (holistic or analytic thinking) (Nisbett et al., 2001), thinking",afddc4f41f27e3efeedf1c71442b9a181ec95fa8>37e4180aaf2e4762cbdc9dd04e714643d86c219f_6,background,"The citation does not explicitly describe methods or results, likely providing general context."
Multiple Processes in Contour Detection,"By pooling the feedforward inputs, a small proportion of V2 cells (Figure 3) and a large proportion of V4 cells (Chen et al., 2014) in the superficial (output) layers start to signal the global contour.",0599e2ebb2aaf572a04b7ffb63146dd0e942fbf6>f2aa3b10e03add721416318b5e4ce7f5896d5dc4_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"However, they do not approach even the lowest suggested thresholds for P-limitation at the oldest site as used in other tests of progressive P limitation (Wardle et al. 2004).",59e423ba6b316d0e41854a984583dbd9a4923180>e66c167f0d491b77454b0904a1621393a493beed_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
5 Experiments,We report results with both the [26] and [27] versions of the detector of [14] as the baseline object detector.,c09f51a6e8a10964d44adcd2a325e8382219253d>38bef2a04234bf5ac194c05985418e3b6add70d6_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"Similar results (i.e. that greater decreases observed in g than in Amax) have also been reported in other forest species (Monson & Grant, 1989; Green & Mitchell, 1992; Zhang & Marshall, 1994) and crop plants (Ismail & Hall, 1992).",8956d21008001dd4dcaec4a4f1cc8b031bc052e6>None_0,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Methods,"Pre- and post-test1 both included measurements of the S-reflex, M-wave, and H-reflex, followed by an MVC. S-reflex testing was performed at 0 , as in the study by Avela et al. (1999).",29248e78f2057ef835bb444c9be4a19829df9dc0>62568ff0d30f5935f874a409cbf3ee3ddf3fea0a_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"Clinically, they usually present with unilateral nasal obstruction, but other symptoms have also been reported such as epistaxis, purulent rhinorrhoea, postnasal drip, snoring, obstructive sleep apnoea, dysphonia, and dysphagia [3, 12].",ce1e8a58d414724e9c73a7d152ef3242903925bf>2b5e5d9dc90e959e3e2b00cb1de475864931b827_1,background,"The citation provides context, references prior work, or summarizes existing knowledge."
1 Introduction,"In the context of the second application, it has been exemplifi ed in several studies that exact optimization can be very diffi cult for real-world instances ([18, 11, 13]).",3e3f18a8f2e617b04b8884814f324ee67ad825de>65f04c7b8bf794236106daf12c5926ebee5b21f8_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"For each LOOCV training set, the entire model building process was repeated, including the gene selection process.",b148bdc8839ca0ffa2dba2d4763830d4da9b39ee>bdd7686f978c075e0229bf5f5ade976636cd06ed_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"However, the amounts of the other PCR cycle enzymes and of electron transport components also vary in parallel with the amount of RuBisCO (von Caemmerer and Farquhar 1981; Makino et al. 1983).",95fa0ad59301387b16cc9cd08cb96401ba25a933>e71d78841cf5887fbddca95bfb5cbfc8ddd0ade8_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
INTRODUCTION,"To fulfil this goal we used (as described in detail in the next section) the Th.o.m.a.s (Bosco et al., 2009a; see also Castellino et al., 2011; Laghi et al. in press), a semi-structured interview for investigating various aspects of ToM, plus a classical ToM test (Strange Stories test, Happé et…",9184109d9f2b9815b82004e1d6f8353318d19412>9d6aaf1a9388496c3b0ae42f74af16ba532ec0f2_7,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
,"Previous SPM studies (Salmon et al., 2000; Sakamoto et al., 2002; Kemp et al., 2003) matched the severity of dementia between early onset and late onset groups with MMSE or ADAS-cog (Alzheimer’s Disease Assessment Scalecognitive subscale) scores that reflect only the cognitive aspects of dementia.",cefb4466e87b6d1d84b80bc798e81343e43fec3e>76736db6700a0a5ef10415a037e2efba8597c6b1_3,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"5 Mice with GLUT1-haploinsufficiency exhibited impaired motor activity and coordination, microencephaly, and frequent seizures (51).",799d83b35c79bfc65882ffe95a74a0c5c7c997ec>aa0d6590fed738d60a727867d1f5df5688096f63_16,background,"The citation does not explicitly describe methods or results, likely providing general context."
1. INTRODUCTION,"However, this mechanism implies higher cost due to high usage of resources [2].",10e69bec2397d81981ac5e339c43c6fa9ff145c9>787500fa3f94954518b3f8f793adba3a67377fb9_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
6 EXPERIMENTS,"The two
 baselines considered in our experiments are two representatives from parametric and non-parametric categories: 1) OU (Orstein-Uhlenbeck (Huang et al., 2016)): modeling the drift term using an Orstein-Uhlenbeck process (Gillespie, 1996), which is a stationary Gauss-Markov process with the‚Ä¶",541d00c1e8cf96f91688cbfabd1c5cc90fec4b2b>24a9fd80925c989518a489723d8e8a0f099bb734_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"In addition, p16 overexpression has been associated with tumor progression and a poor prognosis in ovarian (51) and breast cancers (36).",b4cc2bc53a4c5f3b7851b90c1eaa04cd40c4896d>19975d8b06a8152c61840cbe044aca9e271cfea1_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"Notice that PCA can be seen as the basis of several other multivariate data analysis methods such as PLS (McIntosh et al., 1996; Lobaugh et al., 2001), whereby it is restricted to the brain–behavior covariate matrix.",17b98b22c58c8f866f3fe0309e4d8c093ca4b9e5>b6dc56a836abe295e634fd86430f55d61340aab0_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
Discussion,"Although several antigens including CD163 and CD204 are known to be markers of M2 macrophages, only a few studies have described macrophage activation phenotypes (such as M1 and M2) in human cancer tissues [39,40].",965a5fd631c10d91174e372cfe70a2efb430656c>60b72a5e586003783ea85d65b6fe11bda6a441f7_0,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Methods,"PCR-targeted mutagenesis was used to replace precisely the cmdABCDEF or SAV4098-4103 genes with an antibiotic resistant gene and then remove the marker but leaving an 81-bp ""scar"" sequence when necessary [20].",e581a41a15a2870f51c295e1c621881d2ffffba6>735923f666cb31c6a2b0e707051967f8e23f3664_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
1 Introduction,"Secondly, the results provide quantitative evidence regarding the difficulty of conveying privacy related functions and policies to users; earlier research has shown that users often do not read such policies [17, 19] or are not able to comprehend them [15, 19].",e9b964c2a6b9d04f8fce97052e234abb777498a9>8b43412565e578bc1ac71cbc5db9c93f989679f4_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Results,"These results are similar to a previous report [3] and suggest that mirror-image allodynia was successfully induced, although the degree of mirror-image allodynia was significantly smaller than the primary (ipsilateral) allodynia, as reported previously in the same rats [15].",e3a9cc9bc08fa447463d46629aa24e2c78cdd87e>13db9eca787e42ceb268d362ecca75a5056cc5d6_0,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Materials and Methods,"Human leukemia cell lines, HL60 [38] and RPMI8226 [39], were purchased from DS Pharma Biomedical (Osaka, Japan) and cultured in RPMI 1640 medium (Invitrogen, California) containing 10% fetal bovine serum and a 1% penicillin-streptomycin mixture (Sigma) at 37uC under 5% CO2 in a humidified incubator and passaged every three days.",17dd4ed72780aeba00d47dafd8cb60f78bbf3891>20deb8d3344b569308e0579d59723f75a8eb1cca_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"With respect to the contradicting results of other studies (Licausi et al., 2011; Weits et al., 2014), we propose that the air humidity during the recovery
period is a crucial factor for the length of survival of submergence in darkness, which was shown here for treatment of the different genotypes…",5cecd1d9932d3f269b1caa45d07e84e3376c3710>9a0f537ddecebb9d82a5aa5cdf14c338358e4e02_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"Receptors of virtually every type have been shown to stimulate the production of the phosphoinositides phosphatidylinositol-3,4,5-trisphosphate (PtdIns-3,4,5-P3) and PtdIns-3,4-P2 (Auger et al., 1989; Serunian et al., 1991; Gold and Aebersold, 1994; Gold et al., 1994; Okada et al., 1996).",0093753fc77eccd1248d1237709470d5e770eda0>a48dae876ed733d9257f91bc465438501d2b3668_10,background,"The citation does not explicitly describe methods or results, likely providing general context."
INTRODUCTION,"The concentration of katanin in mitotic spindle poles (McNally and Thomas, 1998) and the specific activation of katanin’s activity in Mphase Xenopus extracts (Vale, 1991; McNally and Thomas, 1998) suggest that katanin may also sever microtubules from their centrosomal attachments during mitosis in non-neuronal cells.",efaa33b745b1420d6bf13873a4df09680c7984e0>eb08d5a6852228a7b45deb22f1bf4dde945020c6_8,background,"The citation does not explicitly describe methods or results, likely providing general context."
1. Introduction,"For time-varying discrete-time wavelet transform, in literature there are some papers related with this topic by studying the changes of two different filter banks [10,11,12].",bc790409c12bea0176e86b85915f1cfcde1227e6>7b6eae8fdd65b7b50cdc6fd6941989ac833f31c2_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
1 Introduction,"The unique hydrogen bonding pattern and the small variation in the derived geometrical restraints provide the foundation for the previous assignment algorithms that use either hydrogen bond (DSSP(Dictionary of Secondary Structure of Proteins) [4], STRIDE [5] and SECSTR [6] and SST [7]) or geometrical restraint as inputs.",42573358ca9bacee4faaf2d661ab63b22f23a644>0760fed3ac924a8540a8f8761665853eb93b206d_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
Discussion,"However, in both cases (Safran et al. 2005; Finnegan et al. 2008)
it was not possible to show a correspondence between topographic properties and climate.",636476286d6a98b5f782732d169bf431fec94b7f>2fe7a659d8ce9e6f024cebdf27511c8355c6ec10_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
"Boston, Massachusetts",have mitral regurgitation secondary to congestive heart failure have a unique pattern of flow across the mitral valve in systole which consists of early systolic accentuation of mitral regurgitant flow with lesser flow in the latter two-thirds of systole (15).,9cf57d4abb851fb1b61020683b401452b5757069>3e35a2aea7c7e1a338fe955ef00df6d909a06750_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
5.3.2 Experiments,Therefore this feature has also been included by making use of an automatic event co-reference system by Chen et al. (2011).,17ac6d1beb36f45b30b542ee931ac51c692dee12>c34efaaa3a2cb216b8d40f051e07a4c20aa57be2_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
5 Evaluation,"In this section, we present a detailed evaluation of the GSP and ASFALT mechanisms using the sensor network simulation tool J-Sim [16] and compare their performance to the signature-based scheme proposed by Fang et al.",a02bcdd0a2ade32acac1736398f1a911fa24887e>7492683af60d02dbd658acdc61249571f8c20fc8_2,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
3. Discussion,"CMA yields significant rates of pathogenic or potentially pathogenic (VOUS) results [2,11–20], which have clinical utility for the case-by-case clinical management of individuals with these individually rare disorders [23–34].",9aed24e5ae0dba564ed6824c6f1002efd50b027e>69e24119117961e4ae92961e2a0e3deed4218504_7,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"1991), allozymes (Jaaska 1980, 1981; Dudnikov 2000; Dudnikov and Kawahara 2006), AFLP (Saeidi et al. 2008; Mizuno et al. 2010), SSR (Pestsova et al.",cad51c4df1bc4d10317bb80077d12dabd6eb07f2>b35788a3171dc81e0a429bd7a6b6f9773fd80bc7_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"Two are re-analyses of data from large adverse event studies of all ages described earlier [23, 24].",b8987700299f6fcba07c7427f00cb2405a4e9528>4b2d23f8d74a25d8405e43116026188b4f60bfe9_6,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"We choose hierarchical parameter priors following Smith and Kohn [15] and Nott and Green [14], taking the prior for β̄γ given γ and σ 2 to be Normal",19eae5d0c9f85f90f837e1c539f846471993df1a>15fd2f93bec001e5f4ec3b6fb96832385f8ed6d0_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
7.2 Introduction,"The GABAB(1) subunit is predominantly expressed in the CNS as one of two isoforms:
GABAB(1a) or GABAB(1b) (Kaupmann et al. 1998a).",4dce430c34595c89fc878bd0c47f64f4ef2feb47>b04f0343c6feff16f8d846c2ca840f5416c2d7fc_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
METHODS,‚Ä¶endosperm harvested 18 d after pollination and stored at 808C were cut into small pieces and treated with 2% (w/v) formaldehyde in ice-cold PBS buffer for 4 h. Cross-linking was quenched by addition of 2 M glycine for 1 h. Total proteins were then extracted as described by Boehlein et al. (2005).,fdeb36c67de7f69f3f131c5091102675397fac93>27145453e21e69bb3fc4cdb29b441103c2d87908_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
METHODS,"Temporal trends and age-specific rates were plotted using a semilog scale, with a y- to x-axis ratio of 1 log cycle=40 years, such that an angle of 10° portrayed a change of 1% per year.(22) We aggregated data over years to derive more stable rate estimates.",d03d8cc6f746e0cf30c33aa0883336fad058bf73>6bf2cbf04bd5aeb52dcbe2158b69fa3fd95122cc_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"fumaroxidans was built from KEGG [43] (S6 Dataset and S7 Dataset) using the RAVEN Toolbox [42], which uses protein homology to identify the KEGG Orthology (KO) ID for each gene in a genome.",0b7651a1feda3b7e1711dc7fbbf44aa5ae637dec>1420683ede9bb612db71cecc9d8c634a666ac078_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"It was also hypothesised that scores on all instruments would be significantly worse for women with more incontinence episodes [18], and for those who did not perceive any treatment benefit at",4c6d41b5241a2d80b993632d7e89acdb9fedef74>45ee8db9be57b97522566b1d1f6d2433cc464b72_5,background,"The citation does not explicitly describe methods or results, likely providing general context."
Results,"After divergence from chicken, the mammalian lineage acquired three additional 50 noncoding exons that lack
sequence similarity to exon 1c. Exon 1a is derived from LINE element sequence (Drews et al. 2005).",2417526934446d81023af49f27bb7f52044bcb78>73f36294b5992a53e4f075e384fe30a13c629bb4_6,background,"The citation does not explicitly describe methods or results, likely providing general context."
